genome_id,genome_id,source,organism,genus,species,strian,closest_placement_reference,input_file,bgcs_count,bgcs_on_contig_edge,protoclusters_count,cand_clusters_count,NI-siderophore,LAP,lassopeptide,terpene,RiPP-like,betalactone,NRP-metallophore.NRPS,NRPS,T3PKS,NRPS.arylpolyene,NRPS.T1PKS,opine-like-metallophore,LAP.thiopeptide,lanthipeptide-class-i,cyclic-lactone-autoinducer.lanthipeptide-class-ii,RRE-containing.lassopeptide,NRPS.T1PKS.transAT-PKS,NRPS.transAT-PKS,NRPS-like,cyclic-lactone-autoinducer,proteusin,lanthipeptide-class-ii,RRE-containing,NI-siderophore.terpene,LAP.sactipeptide.thiopeptide,NRPS.T1PKS.lanthipeptide-class-ii,NRPS.betalactone,LAP.ranthipeptide,NRP-metallophore.NRPS.betalactone,ranthipeptide.sactipeptide,NRPS.PKS-like.T3PKS.transAT-PKS,glycocin,CDPS,sactipeptide,other,epipeptide,transAT-PKS,NRPS.betalactone.transAT-PKS,NRPS.T3PKS.transAT-PKS,PKS-like,T3PKS.transAT-PKS,NRP-metallophore.NRPS.RiPP-like,T1PKS.transAT-PKS-like,T1PKS,ranthipeptide,phosphonate,lanthipeptide-class-iii,NRPS.PKS-like.transAT-PKS,LAP.terpene,NRPS.ladderane,NRPS-like.cyclic-lactone-autoinducer,arylpolyene,LAP.RRE-containing,arylpolyene.ladderane,NRPS.RRE-containing,RRE-containing.ladderane,redox-cofactor,NRPS.NRPS-like.T1PKS.transAT-PKS,NRP-metallophore.NRPS.lanthipeptide-class-iii,furan,NRPS.NRPS-like,NRPS.lanthipeptide-class-i,ladderane,lanthipeptide-class-ii.terpene,ectoine,other.phosphonate,LAP.redox-cofactor.thiopeptide,LAP.RRE-containing.cyclic-lactone-autoinducer.thiopeptide,RiPP-like.cyclic-lactone-autoinducer,RRE-containing.terpene,lanthipeptide-class-iv,nucleoside,NRPS.RiPP-like
GCA_030348485.1,GCA_030348485.1,ncbi,,,,,,,7.0,0.0,0.0,0.0,,,,1.0,,1.0,,1.0,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030123285.1,GCA_030123285.1,ncbi,,,,,,,13.0,0.0,0.0,0.0,,,,2.0,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
GCA_030272035.1,GCA_030272035.1,ncbi,,,,,,,12.0,0.0,0.0,0.0,1.0,1.0,,1.0,3.0,1.0,1.0,2.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030487755.1,GCA_030487755.1,ncbi,,,,,,,14.0,0.0,0.0,0.0,,,1.0,2.0,,,1.0,1.0,1.0,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
GCA_030122745.1,GCA_030122745.1,ncbi,,,,,,,5.0,0.0,0.0,0.0,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
GCA_030292035.1,GCA_030292035.1,ncbi,,,,,,,10.0,0.0,0.0,0.0,,,,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
GCA_030123385.1,GCA_030123385.1,ncbi,,,,,,,8.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,,,,,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030123465.1,GCA_030123465.1,ncbi,,,,,,,8.0,0.0,0.0,0.0,,1.0,1.0,2.0,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
GCA_030292225.1,GCA_030292225.1,ncbi,,,,,,,14.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030291935.1,GCA_030291935.1,ncbi,,,,,,,6.0,0.0,0.0,0.0,2.0,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
GCA_031324245.1,GCA_031324245.1,ncbi,,,,,,,4.0,0.0,0.0,0.0,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
GCA_030348985.1,GCA_030348985.1,ncbi,,,,,,,9.0,1.0,0.0,0.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
GCA_030285945.1,GCA_030285945.1,ncbi,,,,,,,9.0,0.0,0.0,0.0,2.0,,1.0,1.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030122905.1,GCA_030122905.1,ncbi,,,,,,,9.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_031324305.1,GCA_031324305.1,ncbi,,,,,,,9.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030122885.1,GCA_030122885.1,ncbi,,,,,,,14.0,0.0,0.0,0.0,,,,2.0,1.0,,1.0,1.0,1.0,,,,,2.0,,,,,,,,,,,,,1.0,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030122985.1,GCA_030122985.1,ncbi,,,,,,,4.0,0.0,0.0,0.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,
GCA_030348405.1,GCA_030348405.1,ncbi,,,,,,,9.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
GCA_030348195.1,GCA_030348195.1,ncbi,,,,,,,9.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030123225.1,GCA_030123225.1,ncbi,,,,,,,3.0,0.0,0.0,0.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030292055.1,GCA_030292055.1,ncbi,,,,,,,11.0,0.0,0.0,0.0,,,,2.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030292115.1,GCA_030292115.1,ncbi,,,,,,,13.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030123305.1,GCA_030123305.1,ncbi,,,,,,,12.0,0.0,0.0,0.0,,,,2.0,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,2.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030167075.1,GCA_030167075.1,ncbi,,,,,,,10.0,0.0,0.0,0.0,,,,2.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030348535.1,GCA_030348535.1,ncbi,,,,,,,10.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
GCA_030123425.1,GCA_030123425.1,ncbi,,,,,,,5.0,0.0,0.0,0.0,,1.0,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
GCA_030167015.1,GCA_030167015.1,ncbi,,,,,,,12.0,0.0,0.0,0.0,,,,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030348415.1,GCA_030348415.1,ncbi,,,,,,,13.0,1.0,0.0,0.0,1.0,2.0,,1.0,3.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
GCA_031324075.1,GCA_031324075.1,ncbi,,,,,,,8.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030348915.1,GCA_030348915.1,ncbi,,,,,,,10.0,0.0,0.0,0.0,,,,2.0,1.0,2.0,,1.0,1.0,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030348645.1,GCA_030348645.1,ncbi,,,,,,,14.0,0.0,0.0,0.0,,,,2.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030123445.1,GCA_030123445.1,ncbi,,,,,,,6.0,0.0,0.0,0.0,,1.0,1.0,2.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030123205.1,GCA_030123205.1,ncbi,,,,,,,10.0,0.0,0.0,0.0,,,,2.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030292015.1,GCA_030292015.1,ncbi,,,,,,,11.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030348505.1,GCA_030348505.1,ncbi,,,,,,,5.0,0.0,0.0,0.0,,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030291995.1,GCA_030291995.1,ncbi,,,,,,,9.0,0.0,0.0,0.0,,,,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030348865.1,GCA_030348865.1,ncbi,,,,,,,13.0,0.0,0.0,0.0,,,,2.0,,,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030348775.1,GCA_030348775.1,ncbi,,,,,,,9.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
