bgc_id,product,bigscape_class,genome_id,accn_id,gcf_0.50,gcf_0.30,gcf_0.40,Clan Number,fam_id_0.30,fam_type_0.30,fam_known_compounds_0.30,fam_id_0.40,fam_type_0.40,fam_known_compounds_0.40,fam_id_0.50,fam_type_0.50,fam_known_compounds_0.50
JAVIVR010000002.1.region005,terpene,Terpene,GCA_031324225.1,JAVIVR010000002.1,2683,2590,2683,2488,36,unknown_family,u_Terpene_36,6,unknown_family,u_Terpene_6,7,unknown_family,u_Terpene_7
JAUCFU010000008.1.region008,lassopeptide,RiPPs,GCA_030348225.1,JAUCFU010000008.1,3327,3327,3327,2582,24,unknown_family,u_RiPPs_24,21,unknown_family,u_RiPPs_21,3,unknown_family,u_RiPPs_3
JAUCFU010000008.1.region004,LAP,RiPPs,GCA_030348225.1,JAUCFU010000008.1,3454,3076,3454,2582,107,unknown_family,u_RiPPs_107,78,unknown_family,u_RiPPs_78,76,unknown_family,u_RiPPs_76
JAUCFU010000008.1.region003,betalactone,Others,GCA_030348225.1,JAUCFU010000008.1,3068,3453,3068,2937,1,unknown_family,u_Others_1,1,known_family,fengycin,1,known_family,fengycin
JAUCFU010000007.1.region001,RiPP-like,RiPPs,GCA_030348225.1,JAUCFU010000007.1,3449,3449,3449,2582,111,unknown_family,u_RiPPs_111,102,unknown_family,u_RiPPs_102,98,unknown_family,u_RiPPs_98
JAUCFU010000008.1.region005,NRPS,NRPS,GCA_030348225.1,JAUCFU010000008.1,3455,3455,3455,,87,unknown_family,u_NRPS_87,13,unknown_family,u_NRPS_13,14,unknown_family,u_NRPS_14
JAUCFU010000008.1.region001,NRPS,NRPS,GCA_030348225.1,JAUCFU010000008.1,3073,3073,3073,,130,unknown_family,u_NRPS_130,118,unknown_family,u_NRPS_118,113,unknown_family,u_NRPS_113
JAUCFU010000008.1.region007,T3PKS,PKSother,GCA_030348225.1,JAUCFU010000008.1,3079,3079,3079,,91,unknown_family,u_PKSother_91,85,unknown_family,u_PKSother_85,82,unknown_family,u_PKSother_82
JAUCFU010000007.1.region002,RiPP-like,RiPPs,GCA_030348225.1,JAUCFU010000007.1,3081,3081,3081,2582,117,unknown_family,u_RiPPs_117,109,unknown_family,u_RiPPs_109,102,unknown_family,u_RiPPs_102
JAUCFU010000008.1.region006,terpene,Terpene,GCA_030348225.1,JAUCFU010000008.1,3326,3326,3326,3326,2,unknown_family,u_Terpene_2,5,unknown_family,u_Terpene_5,6,unknown_family,u_Terpene_6
JAUCFU010000008.1.region002,NI-siderophore,Others,GCA_030348225.1,JAUCFU010000008.1,3452,3452,3452,3322,3,known_family,petrobactin,7,known_family,petrobactin,8,known_family,petrobactin
CP126080.1.region004,terpene,Terpene,GCA_030122805.1,CP126080.1,2522,2522,2522,2488,354,unknown_family,u_Terpene_354,308,unknown_family,u_Terpene_308,270,unknown_family,u_Terpene_270
CP126080.1.region002,RRE-containing,RiPPs,GCA_030122805.1,CP126080.1,2520,2520,2520,2582,198,unknown_family,u_RiPPs_198,177,unknown_family,u_RiPPs_177,103,unknown_family,u_RiPPs_103
CP126080.1.region001,lassopeptide,RiPPs,GCA_030122805.1,CP126080.1,3327,2519,2791,2582,271,unknown_family,u_RiPPs_271,95,unknown_family,u_RiPPs_95,3,unknown_family,u_RiPPs_3
CP126080.1.region005,T3PKS,PKSother,GCA_030122805.1,CP126080.1,2812,2523,2812,,327,unknown_family,u_PKSother_327,37,unknown_family,u_PKSother_37,28,unknown_family,u_PKSother_28
CP126080.1.region003,LAP,RiPPs,GCA_030122805.1,CP126080.1,2521,2521,2521,2582,229,unknown_family,u_RiPPs_229,204,unknown_family,u_RiPPs_204,172,unknown_family,u_RiPPs_172
CP126101.1.region003,NRPS,NRPS,GCA_030123245.1,CP126101.1,3357,3357,3357,,85,unknown_family,u_NRPS_85,83,unknown_family,u_NRPS_83,81,unknown_family,u_NRPS_81
CP126101.1.region002,terpene,Terpene,GCA_030123245.1,CP126101.1,3356,3356,3356,2488,95,unknown_family,u_Terpene_95,87,unknown_family,u_Terpene_87,64,unknown_family,u_Terpene_64
CP126101.1.region007,T3PKS,PKSother,GCA_030123245.1,CP126101.1,3354,2743,2733,,89,unknown_family,u_PKSother_89,62,unknown_family,u_PKSother_62,51,unknown_family,u_PKSother_51
CP126101.1.region001,betalactone,Others,GCA_030123245.1,CP126101.1,3355,3355,3355,794,51,unknown_family,u_Others_51,1,known_family,fengycin,1,known_family,fengycin
CP126101.1.region004,phosphonate,Others,GCA_030123245.1,CP126101.1,3358,3358,3358,794,65,unknown_family,u_Others_65,65,unknown_family,u_Others_65,65,unknown_family,u_Others_65
CP126101.1.region005,RRE-containing.lassopeptide,RiPPs,GCA_030123245.1,CP126101.1,2741,2741,2741,2582,74,unknown_family,u_RiPPs_74,72,unknown_family,u_RiPPs_72,71,unknown_family,u_RiPPs_71
CP126101.1.region006,NRPS-like,NRPS,GCA_030123245.1,CP126101.1,3353,3127,3353,,62,unknown_family,u_NRPS_62,49,unknown_family,u_NRPS_49,50,unknown_family,u_NRPS_50
CP126103.1.region004,phosphonate,Others,GCA_030123265.1,CP126103.1,3358,3358,3358,794,65,unknown_family,u_Others_65,65,unknown_family,u_Others_65,65,unknown_family,u_Others_65
CP126103.1.region002,terpene,Terpene,GCA_030123265.1,CP126103.1,3356,3356,3356,2488,95,unknown_family,u_Terpene_95,87,unknown_family,u_Terpene_87,64,unknown_family,u_Terpene_64
CP126103.1.region006,NRPS-like,NRPS,GCA_030123265.1,CP126103.1,3353,3127,3353,,62,unknown_family,u_NRPS_62,49,unknown_family,u_NRPS_49,50,unknown_family,u_NRPS_50
CP126103.1.region005,RRE-containing.lassopeptide,RiPPs,GCA_030123265.1,CP126103.1,2741,2741,2741,2582,74,unknown_family,u_RiPPs_74,72,unknown_family,u_RiPPs_72,71,unknown_family,u_RiPPs_71
CP126103.1.region001,betalactone,Others,GCA_030123265.1,CP126103.1,3355,3355,3355,794,51,unknown_family,u_Others_51,1,known_family,fengycin,1,known_family,fengycin
CP126103.1.region007,T3PKS,PKSother,GCA_030123265.1,CP126103.1,3354,2743,2733,,89,unknown_family,u_PKSother_89,62,unknown_family,u_PKSother_62,51,unknown_family,u_PKSother_51
CP126103.1.region003,NRPS,NRPS,GCA_030123265.1,CP126103.1,3357,3357,3357,,85,unknown_family,u_NRPS_85,83,unknown_family,u_NRPS_83,81,unknown_family,u_NRPS_81
CP128129.1.region008,lanthipeptide-class-i,RiPPs,GCA_030292205.1,CP128129.1,3029,3029,3029,2582,60,unknown_family,u_RiPPs_60,56,unknown_family,u_RiPPs_56,58,unknown_family,u_RiPPs_58
CP128135.1.region001,NRPS,NRPS,GCA_030292205.1,CP128135.1,2910,2910,2910,,31,unknown_family,u_NRPS_31,26,unknown_family,u_NRPS_26,27,unknown_family,u_NRPS_27
CP128129.1.region007,RiPP-like,RiPPs,GCA_030292205.1,CP128129.1,3057,3057,3057,2582,5,unknown_family,u_RiPPs_5,9,unknown_family,u_RiPPs_9,10,unknown_family,u_RiPPs_10
CP128129.1.region010,lanthipeptide-class-ii.cyclic-lactone-autoinducer,RiPPs,GCA_030292205.1,CP128129.1,3031,3031,3060,2582,84,unknown_family,u_RiPPs_84,58,known_family,cytolysin ClyLl;cytolysin ClyLs,60,known_family,cytolysin ClyLl;cytolysin ClyLs
CP128129.1.region011,lassopeptide,RiPPs,GCA_030292205.1,CP128129.1,3327,3327,3327,2582,24,unknown_family,u_RiPPs_24,21,unknown_family,u_RiPPs_21,3,unknown_family,u_RiPPs_3
CP128129.1.region004,NRP-metallophore.NRPS,Others,GCA_030292205.1,CP128129.1,3067,3067,3067,794,6,unknown_family,u_Others_6,2,unknown_family,u_Others_2,2,unknown_family,u_Others_2
CP128129.1.region001,LAP,RiPPs,GCA_030292205.1,CP128129.1,3566,3566,3566,3065,4,unknown_family,u_RiPPs_4,8,unknown_family,u_RiPPs_8,9,unknown_family,u_RiPPs_9
CP128129.1.region006,NRPS,NRPS,GCA_030292205.1,CP128129.1,2940,2940,2940,,15,unknown_family,u_NRPS_15,13,unknown_family,u_NRPS_13,14,unknown_family,u_NRPS_14
CP128129.1.region005,betalactone,Others,GCA_030292205.1,CP128129.1,3563,2937,3563,2937,1,unknown_family,u_Others_1,1,known_family,fengycin,1,known_family,fengycin
CP128129.1.region003,NI-siderophore,Others,GCA_030292205.1,CP128129.1,3322,3322,3322,3322,3,known_family,petrobactin,7,known_family,petrobactin,8,known_family,petrobactin
CP128129.1.region009,terpene,Terpene,GCA_030292205.1,CP128129.1,3326,3326,3326,3326,2,unknown_family,u_Terpene_2,5,unknown_family,u_Terpene_5,6,unknown_family,u_Terpene_6
CP128135.1.region002,lanthipeptide-class-iii,RiPPs,GCA_030292205.1,CP128135.1,3046,3046,3046,2582,75,unknown_family,u_RiPPs_75,73,unknown_family,u_RiPPs_73,57,known_family,paenithipeptin
CP128129.1.region002,T1PKS.NRPS,PKS-NRP_Hybrids,GCA_030292205.1,CP128129.1,3023,3023,3023,1023,97,unknown_family,u_PKS-NRP_Hybrids_97,89,unknown_family,u_PKS-NRP_Hybrids_89,86,unknown_family,u_PKS-NRP_Hybrids_86
CP126097.1.region001,NRPS,NRPS,GCA_030123145.1,CP126097.1,2550,2550,2550,,9,known_family,surfactin,11,known_family,surfactin,12,known_family,lichenysin;surfactin
CP126097.1.region009,sactipeptide,RiPPs,GCA_030123145.1,CP126097.1,3316,3316,3316,3316,19,known_family,subtilosin A,18,known_family,subtilosin A,20,known_family,subtilosin A
CP126097.1.region005,terpene,Terpene,GCA_030123145.1,CP126097.1,3311,2555,3311,3538,7,unknown_family,u_Terpene_7,6,unknown_family,u_Terpene_6,7,unknown_family,u_Terpene_7
CP126097.1.region003,transAT-PKS.PKS-like.T3PKS.NRPS,PKS-NRP_Hybrids,GCA_030123145.1,CP126097.1,2553,2553,2553,2553,10,known_family,bacillaene,12,known_family,bacillaene,13,known_family,bacillaene
CP126097.1.region008,CDPS,NRPS,GCA_030123145.1,CP126097.1,2559,2559,2559,,32,known_family,pulcherriminic acid,27,known_family,pulcherriminic acid,24,known_family,pulcherriminic acid
CP126097.1.region002,terpene,Terpene,GCA_030123145.1,CP126097.1,3099,3099,3099,3099,23,unknown_family,u_Terpene_23,20,unknown_family,u_Terpene_20,15,unknown_family,u_Terpene_15
CP126097.1.region010,other,Others,GCA_030123145.1,CP126097.1,3317,3317,3317,3317,8,known_family,bacilysin;bacilysin,10,known_family,bacilysin;bacilysin,11,known_family,bacilysin;bacilysin
CP126097.1.region006,T3PKS,PKSother,GCA_030123145.1,CP126097.1,3195,3103,3195,,22,unknown_family,u_PKSother_22,4,unknown_family,u_PKSother_4,5,unknown_family,u_PKSother_5
CP126097.1.region007,NRP-metallophore.NRPS,Others,GCA_030123145.1,CP126097.1,3314,3197,3197,794,11,unknown_family,u_Others_11,2,unknown_family,u_Others_2,2,unknown_family,u_Others_2
CP126097.1.region004,betalactone.NRPS,Others,GCA_030123145.1,CP126097.1,2554,3101,2554,794,20,unknown_family,u_Others_20,1,known_family,fengycin,1,known_family,fengycin
JAUCET010000002.1.region009,LAP.thiopeptide,RiPPs,GCA_030348835.1,JAUCET010000002.1,3171,3171,3171,2582,122,unknown_family,u_RiPPs_122,111,unknown_family,u_RiPPs_111,106,unknown_family,u_RiPPs_106
JAUCET010000002.1.region002,NRPS,NRPS,GCA_030348835.1,JAUCET010000002.1,2550,2550,2550,,9,known_family,surfactin,11,known_family,surfactin,12,known_family,lichenysin;surfactin
JAUCET010000002.1.region004,terpene,Terpene,GCA_030348835.1,JAUCET010000002.1,2719,2719,2719,2719,23,unknown_family,u_Terpene_23,20,unknown_family,u_Terpene_20,15,unknown_family,u_Terpene_15
JAUCET010000002.1.region013,other,Others,GCA_030348835.1,JAUCET010000002.1,3317,3317,3317,3317,8,known_family,bacilysin;bacilysin,10,known_family,bacilysin;bacilysin,11,known_family,bacilysin;bacilysin
JAUCET010000002.1.region006,transAT-PKS.betalactone.NRPS,Others,GCA_030348835.1,JAUCET010000002.1,3422,3101,3422,794,20,unknown_family,u_Others_20,1,known_family,fengycin,1,known_family,fengycin
JAUCET010000002.1.region008,T3PKS,PKSother,GCA_030348835.1,JAUCET010000002.1,3195,3103,3195,,22,unknown_family,u_PKSother_22,4,unknown_family,u_PKSother_4,5,unknown_family,u_PKSother_5
JAUCET010000002.1.region007,terpene,Terpene,GCA_030348835.1,JAUCET010000002.1,2683,2555,2683,3538,7,unknown_family,u_Terpene_7,6,unknown_family,u_Terpene_6,7,unknown_family,u_Terpene_7
JAUCET010000002.1.region005,transAT-PKS.PKS-like.NRPS,PKS-NRP_Hybrids,GCA_030348835.1,JAUCET010000002.1,2553,2553,2553,2553,10,known_family,bacillaene,12,known_family,bacillaene,13,known_family,bacillaene
JAUCET010000002.1.region011,CDPS,NRPS,GCA_030348835.1,JAUCET010000002.1,2559,2559,2559,,32,known_family,pulcherriminic acid,27,known_family,pulcherriminic acid,24,known_family,pulcherriminic acid
JAUCET010000002.1.region003,T1PKS.NRPS,PKS-NRP_Hybrids,GCA_030348835.1,JAUCET010000002.1,2621,3165,2621,1023,137,unknown_family,u_PKS-NRP_Hybrids_137,39,unknown_family,u_PKS-NRP_Hybrids_39,40,unknown_family,u_PKS-NRP_Hybrids_40
JAUCET010000002.1.region012,sactipeptide,RiPPs,GCA_030348835.1,JAUCET010000002.1,3199,3199,3199,3199,19,known_family,subtilosin A,18,known_family,subtilosin A,20,known_family,subtilosin A
JAUCET010000002.1.region010,NRP-metallophore.NRPS,Others,GCA_030348835.1,JAUCET010000002.1,3197,3197,3197,794,11,unknown_family,u_Others_11,2,unknown_family,u_Others_2,2,unknown_family,u_Others_2
JAUCET010000002.1.region001,lanthipeptide-class-ii,RiPPs,GCA_030348835.1,JAUCET010000002.1,3163,3163,3163,2582,120,unknown_family,u_RiPPs_120,110,unknown_family,u_RiPPs_110,105,unknown_family,u_RiPPs_105
JAUCFP010000006.1.region002,terpene,Terpene,GCA_030348385.1,JAUCFP010000006.1,3411,3411,3411,2488,366,unknown_family,u_Terpene_366,320,unknown_family,u_Terpene_320,281,unknown_family,u_Terpene_281
JAUCFP010000006.1.region004,NRPS.ladderane,Others,GCA_030348385.1,JAUCFP010000006.1,3413,3413,3413,794,160,unknown_family,u_Others_160,147,unknown_family,u_Others_147,136,unknown_family,u_Others_136
JAUCFP010000006.1.region001,LAP.terpene,Others,GCA_030348385.1,JAUCFP010000006.1,3410,3410,3410,794,141,unknown_family,u_Others_141,130,unknown_family,u_Others_130,122,unknown_family,u_Others_122
JAUCFP010000006.1.region005,T3PKS,PKSother,GCA_030348385.1,JAUCFP010000006.1,3414,3414,3414,,90,unknown_family,u_PKSother_90,84,unknown_family,u_PKSother_84,28,unknown_family,u_PKSother_28
JAUCFP010000006.1.region003,NI-siderophore,Others,GCA_030348385.1,JAUCFP010000006.1,2734,2734,2734,794,68,unknown_family,u_Others_68,67,unknown_family,u_Others_67,52,unknown_family,u_Others_52
JAUCES010000005.1.region004,NI-siderophore,Others,GCA_030348825.1,JAUCES010000005.1,3583,3186,3583,794,173,unknown_family,u_Others_173,3,unknown_family,u_Others_3,4,known_family,schizokinen
JAUCES010000005.1.region005,terpene,Terpene,GCA_030348825.1,JAUCES010000005.1,3187,3187,3187,2488,363,unknown_family,u_Terpene_363,317,unknown_family,u_Terpene_317,278,unknown_family,u_Terpene_278
JAUCES010000005.1.region003,LAP,RiPPs,GCA_030348825.1,JAUCES010000005.1,3185,3185,3185,2582,256,unknown_family,u_RiPPs_256,227,unknown_family,u_RiPPs_227,176,unknown_family,u_RiPPs_176
JAUCES010000005.1.region001,T3PKS,PKSother,GCA_030348825.1,JAUCES010000005.1,3495,3495,3495,,63,unknown_family,u_PKSother_63,63,unknown_family,u_PKSother_63,63,unknown_family,u_PKSother_63
JAUCES010000005.1.region002,terpene,Terpene,GCA_030348825.1,JAUCES010000005.1,3184,3184,3184,2488,350,unknown_family,u_Terpene_350,304,unknown_family,u_Terpene_304,266,unknown_family,u_Terpene_266
CP126079.1.region004,transAT-PKS.NRPS,PKS-NRP_Hybrids,GCA_030122785.1,CP126079.1,2505,2505,2505,1023,373,unknown_family,u_PKS-NRP_Hybrids_373,327,unknown_family,u_PKS-NRP_Hybrids_327,287,unknown_family,u_PKS-NRP_Hybrids_287
CP126079.1.region006,lanthipeptide-class-i,RiPPs,GCA_030122785.1,CP126079.1,2507,2507,2507,2582,106,known_family,paenilan,98,known_family,paenilan,93,known_family,paenilan
CP126079.1.region002,transAT-PKS.NRPS,PKS-NRP_Hybrids,GCA_030122785.1,CP126079.1,2503,2503,2503,1023,376,unknown_family,u_PKS-NRP_Hybrids_376,330,unknown_family,u_PKS-NRP_Hybrids_330,290,unknown_family,u_PKS-NRP_Hybrids_290
CP126079.1.region009,NRPS,NRPS,GCA_030122785.1,CP126079.1,2511,2510,2511,,86,known_family,tridecaptin;tridecaptin M,61,known_family,tridecaptin;tridecaptin M,61,known_family,tridecaptin;tridecaptin M
CP126079.1.region013,transAT-PKS.PKS-like.T3PKS.NRPS,PKS-NRP_Hybrids,GCA_030122785.1,CP126079.1,2514,2514,2514,1023,379,unknown_family,u_PKS-NRP_Hybrids_379,332,unknown_family,u_PKS-NRP_Hybrids_332,292,unknown_family,u_PKS-NRP_Hybrids_292
CP126079.1.region014,lanthipeptide-class-i,RiPPs,GCA_030122785.1,CP126079.1,2515,2515,2515,2582,226,unknown_family,u_RiPPs_226,203,unknown_family,u_RiPPs_203,164,unknown_family,u_RiPPs_164
CP126079.1.region001,NRPS,NRPS,GCA_030122785.1,CP126079.1,1077,1077,1077,,125,known_family,fusaricidin B,114,known_family,fusaricidin B,109,known_family,fusaricidin B
CP126079.1.region011,betalactone,Others,GCA_030122785.1,CP126079.1,2512,2512,2512,794,165,unknown_family,u_Others_165,151,unknown_family,u_Others_151,140,unknown_family,u_Others_140
CP126079.1.region005,lassopeptide,RiPPs,GCA_030122785.1,CP126079.1,2506,2506,2506,2582,243,unknown_family,u_RiPPs_243,216,unknown_family,u_RiPPs_216,219,unknown_family,u_RiPPs_219
CP126079.1.region008,cyclic-lactone-autoinducer.NRPS-like,Others,GCA_030122785.1,CP126079.1,2509,2509,2509,794,147,unknown_family,u_Others_147,135,unknown_family,u_Others_135,125,unknown_family,u_Others_125
CP126079.1.region017,lanthipeptide-class-i,RiPPs,GCA_030122785.1,CP126079.1,745,2518,2518,2582,187,unknown_family,u_RiPPs_187,168,unknown_family,u_RiPPs_168,104,known_family,S-layer glycan
CP126079.1.region003,proteusin,RiPPs,GCA_030122785.1,CP126079.1,2504,2504,2504,2582,233,unknown_family,u_RiPPs_233,208,unknown_family,u_RiPPs_208,189,unknown_family,u_RiPPs_189
CP126079.1.region012,cyclic-lactone-autoinducer,RiPPs,GCA_030122785.1,CP126079.1,2513,2513,2513,2582,285,unknown_family,u_RiPPs_285,250,unknown_family,u_RiPPs_250,182,unknown_family,u_RiPPs_182
CP126079.1.region016,NRPS,NRPS,GCA_030122785.1,CP126079.1,380,380,380,,47,known_family,polymyxin B;macolacin;polymyxin;colistin A;colistin B,43,known_family,polymyxin B;macolacin;polymyxin;colistin A;colistin B,32,known_family,polymyxin B;macolacin;pelgipeptin;octapeptin C4;polymyxin;colistin A;colistin B
CP126079.1.region015,ranthipeptide,RiPPs,GCA_030122785.1,CP126079.1,2516,2516,2516,2582,197,unknown_family,u_RiPPs_197,176,unknown_family,u_RiPPs_176,167,unknown_family,u_RiPPs_167
CP126079.1.region010,NRPS,NRPS,GCA_030122785.1,CP126079.1,2511,2511,2511,,298,unknown_family,u_NRPS_298,61,known_family,tridecaptin;tridecaptin M,61,known_family,tridecaptin;tridecaptin M
CP126079.1.region007,cyclic-lactone-autoinducer,RiPPs,GCA_030122785.1,CP126079.1,2508,2508,2508,2582,230,unknown_family,u_RiPPs_230,205,unknown_family,u_RiPPs_205,175,unknown_family,u_RiPPs_175
JAVIVY010000003.1.region009,terpene,Terpene,GCA_031324095.1,JAVIVY010000003.1,3326,3326,3326,3326,2,unknown_family,u_Terpene_2,5,unknown_family,u_Terpene_5,6,unknown_family,u_Terpene_6
JAVIVY010000003.1.region004,RiPP-like,RiPPs,GCA_031324095.1,JAVIVY010000003.1,2975,2975,2975,2582,46,unknown_family,u_RiPPs_46,42,unknown_family,u_RiPPs_42,37,unknown_family,u_RiPPs_37
JAVIVY010000003.1.region001,LAP,RiPPs,GCA_031324095.1,JAVIVY010000003.1,3065,3065,3065,3065,4,unknown_family,u_RiPPs_4,8,unknown_family,u_RiPPs_8,9,unknown_family,u_RiPPs_9
JAVIVY010000032.1.region001,NRPS,NRPS,GCA_031324095.1,JAVIVY010000032.1,2910,2910,2910,,31,unknown_family,u_NRPS_31,26,unknown_family,u_NRPS_26,27,unknown_family,u_NRPS_27
JAVIVY010000003.1.region002,NI-siderophore,Others,GCA_031324095.1,JAVIVY010000003.1,3322,3322,3322,3322,3,known_family,petrobactin,7,known_family,petrobactin,8,known_family,petrobactin
JAVIVY010000003.1.region007,RiPP-like,RiPPs,GCA_031324095.1,JAVIVY010000003.1,3057,3057,3057,2582,5,unknown_family,u_RiPPs_5,9,unknown_family,u_RiPPs_9,10,unknown_family,u_RiPPs_10
JAVIVY010000003.1.region003,NRP-metallophore.NRPS,Others,GCA_031324095.1,JAVIVY010000003.1,3067,3067,3067,794,6,unknown_family,u_Others_6,2,unknown_family,u_Others_2,2,unknown_family,u_Others_2
JAVIVY010000003.1.region006,NRPS,NRPS,GCA_031324095.1,JAVIVY010000003.1,2940,2940,2940,,15,unknown_family,u_NRPS_15,13,unknown_family,u_NRPS_13,14,unknown_family,u_NRPS_14
JAVIVY010000003.1.region005,betalactone,Others,GCA_031324095.1,JAVIVY010000003.1,3563,2937,3563,2937,1,unknown_family,u_Others_1,1,known_family,fengycin,1,known_family,fengycin
JAVIVY010000003.1.region008,lanthipeptide-class-i,RiPPs,GCA_031324095.1,JAVIVY010000003.1,3029,3029,3029,2582,60,unknown_family,u_RiPPs_60,56,unknown_family,u_RiPPs_56,58,unknown_family,u_RiPPs_58
JAVIVY010000002.1.region001,lassopeptide,RiPPs,GCA_031324095.1,JAVIVY010000002.1,3327,3327,3327,2582,24,unknown_family,u_RiPPs_24,21,unknown_family,u_RiPPs_21,3,unknown_family,u_RiPPs_3
CP126078.1.region004,transAT-PKS.T1PKS.NRPS,PKS-NRP_Hybrids,GCA_030122765.1,CP126078.1,2496,2496,2496,1023,138,unknown_family,u_PKS-NRP_Hybrids_138,126,unknown_family,u_PKS-NRP_Hybrids_126,119,unknown_family,u_PKS-NRP_Hybrids_119
CP126078.1.region007,RiPP-like,RiPPs,GCA_030122765.1,CP126078.1,3513,3513,3513,2582,115,unknown_family,u_RiPPs_115,107,unknown_family,u_RiPPs_107,101,unknown_family,u_RiPPs_101
CP126078.1.region002,LAP,RiPPs,GCA_030122765.1,CP126078.1,2494,2494,2494,2582,221,unknown_family,u_RiPPs_221,198,unknown_family,u_RiPPs_198,223,unknown_family,u_RiPPs_223
CP126078.1.region005,T3PKS,PKSother,GCA_030122765.1,CP126078.1,2497,2497,2497,,133,unknown_family,u_PKSother_133,122,unknown_family,u_PKSother_122,116,unknown_family,u_PKSother_116
CP126078.1.region008,NRP-metallophore.NRPS,Others,GCA_030122765.1,CP126078.1,3512,2500,2500,794,167,unknown_family,u_Others_167,153,unknown_family,u_Others_153,88,unknown_family,u_Others_88
CP126078.1.region001,opine-like-metallophore,Others,GCA_030122765.1,CP126078.1,2493,2493,2493,794,159,unknown_family,u_Others_159,146,unknown_family,u_Others_146,41,known_family,bacillopaline;staphylopine
CP126078.1.region006,terpene,Terpene,GCA_030122765.1,CP126078.1,3514,3514,3514,2488,134,unknown_family,u_Terpene_134,123,unknown_family,u_Terpene_123,117,unknown_family,u_Terpene_117
CP126078.1.region009,cyclic-lactone-autoinducer,RiPPs,GCA_030122765.1,CP126078.1,2501,2501,2501,2582,123,unknown_family,u_RiPPs_123,112,unknown_family,u_RiPPs_112,107,unknown_family,u_RiPPs_107
CP126078.1.region003,NI-siderophore,Others,GCA_030122765.1,CP126078.1,2495,2495,2495,794,148,unknown_family,u_Others_148,136,unknown_family,u_Others_136,126,unknown_family,u_Others_126
CP126098.1.region001,NRPS,NRPS,GCA_030123165.1,CP126098.1,351,351,351,,21,known_family,koranimine,19,known_family,koranimine,21,known_family,koranimine
CP126098.1.region006,lassopeptide,RiPPs,GCA_030123165.1,CP126098.1,3007,3007,3007,2582,25,unknown_family,u_RiPPs_25,22,unknown_family,u_RiPPs_22,3,unknown_family,u_RiPPs_3
CP126098.1.region003,betalactone,Others,GCA_030123165.1,CP126098.1,3422,3422,3422,794,13,unknown_family,u_Others_13,1,known_family,fengycin,1,known_family,fengycin
CP126098.1.region005,terpene,Terpene,GCA_030123165.1,CP126098.1,3551,3551,3551,2488,18,unknown_family,u_Terpene_18,17,unknown_family,u_Terpene_17,19,unknown_family,u_Terpene_19
CP126098.1.region009,NI-siderophore,Others,GCA_030123165.1,CP126098.1,3556,3415,3556,794,12,unknown_family,u_Others_12,3,unknown_family,u_Others_3,4,known_family,schizokinen
CP126098.1.region008,terpene,Terpene,GCA_030123165.1,CP126098.1,2583,2617,2583,2488,17,unknown_family,u_Terpene_17,16,unknown_family,u_Terpene_16,18,unknown_family,u_Terpene_18
CP126098.1.region004,T3PKS,PKSother,GCA_030123165.1,CP126098.1,3421,3421,3421,,16,unknown_family,u_PKSother_16,15,unknown_family,u_PKSother_15,17,unknown_family,u_PKSother_17
CP126098.1.region007,LAP,RiPPs,GCA_030123165.1,CP126098.1,3549,3549,3549,2582,14,unknown_family,u_RiPPs_14,14,unknown_family,u_RiPPs_14,16,unknown_family,u_RiPPs_16
CP126098.1.region002,NRPS,NRPS,GCA_030123165.1,CP126098.1,3003,3003,3003,,39,unknown_family,u_NRPS_39,32,unknown_family,u_NRPS_32,33,unknown_family,u_NRPS_33
JAUCFS010000005.1.region004,RiPP-like,RiPPs,GCA_030348325.1,JAUCFS010000005.1,3323,3332,3332,2582,70,unknown_family,u_RiPPs_70,54,unknown_family,u_RiPPs_54,46,unknown_family,u_RiPPs_46
JAUCFS010000005.1.region001,RiPP-like,RiPPs,GCA_030348325.1,JAUCFS010000005.1,3432,3432,3432,2582,83,unknown_family,u_RiPPs_83,82,unknown_family,u_RiPPs_82,80,unknown_family,u_RiPPs_80
JAUCFS010000005.1.region007,terpene,Terpene,GCA_030348325.1,JAUCFS010000005.1,3326,3326,3326,3326,2,unknown_family,u_Terpene_2,5,unknown_family,u_Terpene_5,6,unknown_family,u_Terpene_6
JAUCFS010000004.1.region001,RiPP-like,RiPPs,GCA_030348325.1,JAUCFS010000004.1,3431,3431,3431,2582,77,unknown_family,u_RiPPs_77,55,unknown_family,u_RiPPs_55,56,unknown_family,u_RiPPs_56
JAUCFS010000005.1.region003,NI-siderophore,Others,GCA_030348325.1,JAUCFS010000005.1,3322,3322,3322,3322,3,known_family,petrobactin,7,known_family,petrobactin,8,known_family,petrobactin
JAUCFS010000005.1.region008,lassopeptide,RiPPs,GCA_030348325.1,JAUCFS010000005.1,3327,3327,3327,2582,24,unknown_family,u_RiPPs_24,21,unknown_family,u_RiPPs_21,3,unknown_family,u_RiPPs_3
JAUCFS010000005.1.region002,LAP,RiPPs,GCA_030348325.1,JAUCFS010000005.1,3433,3433,3433,3065,4,unknown_family,u_RiPPs_4,8,unknown_family,u_RiPPs_8,9,unknown_family,u_RiPPs_9
JAUCFS010000005.1.region006,RiPP-like,RiPPs,GCA_030348325.1,JAUCFS010000005.1,3325,3325,3325,2582,5,unknown_family,u_RiPPs_5,9,unknown_family,u_RiPPs_9,10,unknown_family,u_RiPPs_10
